pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.48,304.0,42115.47,12.16,203.55,361.23,16.24,38.7,3.8,0
7.45,282.79,15343.47,6.87,388.98,325.38,6.35,57.0,3.03,1
6.26,95.79,3377.47,10.54,290.39,641.57,16.74,65.92,4.18,0
5.63,182.92,48414.2,1.38,348.62,266.73,5.32,20.55,4.62,1
7.3,310.84,15403.43,12.56,234.4,604.48,15.78,64.92,3.01,1
6.4,294.67,23460.75,7.02,253.99,351.28,7.89,76.27,3.88,0
7.34,162.49,10243.88,4.11,240.54,621.74,9.46,86.14,4.67,0
8.35,182.77,35860.77,2.09,132.59,749.14,26.07,40.36,2.78,0
7.18,219.61,10199.97,3.0,227.48,957.17,23.61,55.18,2.56,1
6.82,257.61,1053.15,2.82,246.82,465.37,7.84,66.3,4.47,1
6.38,166.69,47949.05,8.28,203.07,508.67,20.32,108.93,3.14,1
6.21,316.34,14611.66,10.87,393.09,300.53,25.51,96.51,3.37,0
8.1,239.72,19975.07,8.9,337.1,957.48,8.71,20.27,3.12,0
4.94,128.25,27222.24,12.01,351.59,123.21,21.69,67.81,3.92,1
6.85,211.18,18824.95,11.76,190.26,847.69,14.81,14.2,1.3,1
8.02,136.23,40421.84,4.76,401.08,566.12,24.0,91.79,2.49,1
6.15,159.22,10071.98,7.27,196.85,451.9,17.44,25.92,2.33,1
6.95,304.17,10463.88,0.92,279.03,632.47,24.15,71.42,1.74,1
6.77,107.94,25440.32,0.77,249.14,895.53,12.56,28.48,3.74,1
7.49,146.73,15804.61,9.54,310.55,599.17,11.85,51.63,2.77,1
8.24,154.14,28363.39,12.21,359.84,811.07,7.71,54.45,2.48,1
6.64,248.29,37063.25,6.05,255.23,331.57,24.08,12.07,3.85,0
6.15,316.09,15427.19,10.1,127.03,917.21,13.2,13.26,1.25,0
6.45,127.37,36740.06,2.05,221.86,627.15,7.62,11.87,3.02,0
8.67,144.31,28605.28,0.62,175.61,864.41,15.25,57.64,3.85,0
8.68,291.98,48615.58,9.16,358.42,171.6,26.58,40.17,1.57,1
7.36,314.78,35982.1,10.88,158.31,404.32,19.95,20.96,2.25,1
7.53,294.76,26538.79,6.64,150.88,563.09,18.79,96.99,1.66,1
6.47,284.16,5667.48,0.78,269.4,229.3,4.38,108.08,4.38,1
7.87,314.28,8603.08,4.72,121.23,201.18,9.39,17.79,2.34,0
6.79,177.82,5203.06,11.02,318.13,238.7,20.18,57.49,2.38,0
6.28,244.04,17096.13,1.3,104.65,518.09,27.55,8.41,4.72,1
7.22,311.03,31025.45,10.85,117.66,823.75,15.55,8.75,4.38,0
6.75,195.95,32652.91,1.21,138.8,827.09,3.67,113.26,3.4,1
7.19,100.78,24247.29,10.22,101.5,786.44,12.87,50.6,3.66,0
6.98,242.89,47217.16,6.77,196.28,812.32,12.42,93.55,3.01,0
7.3,143.68,45683.09,8.24,100.82,220.34,12.04,48.54,4.18,0
7.11,250.55,15415.66,7.14,309.66,434.19,5.38,47.32,4.09,0
8.6,121.35,11367.18,9.83,360.5,733.2,6.9,9.19,1.38,1
7.64,91.04,14467.21,5.41,295.62,644.16,21.55,81.42,3.73,0
6.72,247.58,27797.47,10.68,211.4,856.64,16.83,110.94,4.48,0
7.46,241.33,46068.15,12.43,129.47,720.55,23.64,22.65,1.69,0
6.51,149.43,18514.23,7.78,386.69,604.78,8.83,38.59,2.94,1
7.0,238.39,43316.71,1.65,319.19,773.57,3.39,50.1,2.3,0
6.15,126.79,16993.45,8.43,309.77,852.21,19.96,83.81,1.88,0
6.13,128.54,22457.02,8.43,286.15,823.05,21.89,76.64,2.71,0
7.13,149.45,23964.17,7.49,102.41,630.13,11.23,76.91,4.6,1
5.81,302.34,45686.29,1.1,402.47,480.03,23.05,47.6,4.3,1
7.12,285.46,13311.64,11.23,204.59,755.61,9.05,94.43,3.22,1
6.68,129.71,38444.21,8.39,332.06,799.94,25.31,12.42,1.2,0
7.04,274.11,10480.63,0.52,238.03,925.11,17.2,76.87,4.24,1
7.61,240.2,23267.57,3.56,186.09,884.9,12.86,34.03,3.12,1
7.86,170.88,33166.01,9.57,269.16,275.49,6.87,79.69,1.38,0
7.35,109.74,43391.22,4.53,367.64,590.87,17.94,52.31,4.0,0
6.27,124.91,21477.78,10.01,141.17,283.18,23.33,91.47,3.61,0
7.55,317.41,37269.13,4.39,385.76,423.41,13.25,22.54,3.17,1
8.25,264.67,19852.55,8.53,257.82,156.75,10.33,93.5,2.08,1
7.27,221.55,45513.34,2.44,351.55,632.42,19.86,55.55,2.21,1
5.4,285.97,9686.9,8.73,281.88,513.65,27.82,107.06,1.41,0
5.94,110.54,30866.23,5.48,300.25,962.1,9.24,41.36,1.55,0
7.29,146.5,2796.36,8.99,390.89,353.49,19.65,63.62,4.4,1
6.75,289.59,11589.92,6.87,268.89,412.38,7.18,114.12,3.34,0
8.95,249.49,21391.06,9.61,212.54,703.97,14.73,32.89,2.14,1
6.59,163.38,30849.11,12.94,250.31,299.79,20.86,64.66,3.99,0
6.81,305.19,44495.95,5.86,373.69,972.22,27.63,76.57,4.67,1
7.47,144.81,40561.49,11.3,102.39,598.45,13.23,80.74,2.36,0
4.97,317.01,22128.02,5.14,192.97,843.91,7.56,113.93,1.7,0
7.75,200.28,41420.99,3.1,311.91,462.82,16.38,29.39,3.63,1
6.79,196.65,838.81,10.93,149.12,578.77,18.68,79.89,4.36,0
5.8,275.31,33166.47,3.59,218.88,172.36,23.68,101.73,3.37,0
6.65,120.94,39566.92,7.52,286.04,562.72,4.87,82.84,2.92,0
7.99,132.96,18201.75,8.68,145.42,587.47,20.03,31.05,3.05,1
7.24,266.54,4098.04,11.42,191.51,864.84,24.38,42.14,3.63,1
4.67,239.34,22440.5,0.56,175.21,902.19,5.0,77.84,3.75,1
7.39,208.92,29331.5,2.2,393.73,229.33,17.43,102.97,1.52,0
6.74,112.12,28400.1,5.65,254.29,741.54,20.19,18.3,1.37,1
7.18,144.11,25949.42,6.1,338.29,254.27,21.24,49.61,1.75,1
5.91,158.78,33779.03,1.5,251.3,469.61,11.92,102.97,2.96,1
7.85,295.87,28576.24,10.25,190.65,222.22,24.05,53.74,3.93,0
7.84,238.57,25490.74,8.47,346.41,621.27,21.37,91.15,3.62,1
7.12,224.82,27574.57,5.94,221.52,394.41,18.5,25.28,4.08,1
7.01,249.39,21101.62,6.52,176.46,911.48,27.99,18.63,2.52,0
7.96,262.88,29054.26,0.7,91.14,510.61,24.8,104.07,4.68,1
7.42,280.6,35644.28,5.45,133.48,556.83,6.18,60.2,3.73,1
6.78,143.86,5603.93,5.12,156.39,284.61,13.92,91.45,3.5,0
6.85,101.61,9069.97,9.76,217.14,537.15,27.35,104.26,1.73,0
7.4,296.51,47228.78,9.57,274.87,347.64,10.44,98.01,2.85,1
8.57,165.38,37251.98,8.47,207.0,288.91,10.99,62.27,1.71,1
6.61,253.46,37798.97,10.11,402.57,581.69,13.31,20.84,2.18,1
6.64,155.07,11895.04,6.59,258.19,951.38,4.26,14.93,4.48,1
7.69,107.58,30013.32,7.65,301.18,722.28,8.63,36.82,2.89,1
6.56,244.94,42643.62,3.27,110.86,259.71,9.56,63.73,3.71,1
6.22,166.58,26114.06,12.16,336.22,737.82,6.32,20.58,4.09,0
6.11,92.69,43373.06,4.84,398.78,881.99,22.69,30.67,1.73,0
8.24,158.9,8623.75,3.18,259.87,655.95,24.56,114.83,1.34,1
6.28,221.81,26877.91,8.54,318.67,201.99,15.98,8.79,2.38,1
6.81,265.48,11112.63,12.96,345.58,978.65,23.45,109.65,4.51,1
5.74,101.41,25925.96,7.05,219.81,470.75,10.0,91.64,1.73,1
6.94,269.9,32420.9,10.27,286.02,845.05,8.99,69.32,4.32,0
6.66,113.91,45980.94,2.34,163.06,174.79,16.97,50.21,4.04,0
6.86,310.7,6151.38,5.25,368.12,803.39,13.14,18.31,3.39,0
6.64,165.73,28075.23,9.09,95.05,839.21,11.56,53.42,2.62,1
7.03,305.26,38190.25,6.78,335.49,194.78,14.96,25.47,2.96,0
6.85,234.21,32147.59,7.46,239.14,124.2,27.42,16.86,2.29,0
6.83,115.83,47060.43,4.5,230.13,477.68,11.04,62.66,2.92,0
6.41,200.16,2132.5,7.4,386.85,977.09,20.22,19.31,2.78,0
6.43,174.6,19831.14,11.54,269.41,915.28,26.01,45.93,4.6,0
7.73,166.16,9220.94,3.94,170.16,931.93,27.73,49.88,1.28,0
6.89,169.89,40126.42,7.79,193.26,491.31,7.8,27.14,3.91,1
8.01,131.32,7334.03,11.98,141.89,974.64,19.44,43.4,2.55,0
6.64,99.59,12915.76,11.54,158.21,952.41,7.66,94.36,3.63,1
6.52,161.51,8734.76,7.86,324.18,297.34,10.49,15.13,2.02,0
7.9,231.15,8420.09,4.18,229.48,729.61,4.3,112.92,2.98,0
6.88,118.64,38652.54,12.88,345.58,709.21,26.1,29.24,4.02,0
6.75,202.8,33304.74,10.82,368.34,906.6,13.56,57.63,3.07,1
6.71,302.05,41402.68,4.47,238.21,492.14,27.41,73.89,3.21,1
8.19,98.12,2515.78,12.18,103.17,893.4,15.51,38.43,4.57,0
7.05,209.62,35593.67,2.38,208.45,529.04,23.82,83.17,3.68,1
7.55,236.57,44560.12,7.61,236.8,862.34,4.12,94.46,4.25,1
7.93,166.48,13994.83,12.5,203.54,732.13,27.43,60.12,3.9,1
7.37,224.56,13678.44,13.49,143.43,683.16,5.04,22.47,2.8,1
6.11,170.88,3296.29,9.38,217.93,912.75,4.23,16.33,1.4,1
7.33,309.07,47027.85,7.78,166.2,629.88,21.42,37.07,4.08,0
8.11,108.41,20596.71,9.72,382.06,312.26,8.72,112.0,3.55,1
7.75,97.56,48448.17,13.11,123.41,437.43,9.02,78.09,2.64,1
7.2,243.44,13241.03,8.29,335.73,806.68,26.92,111.66,3.18,1
6.57,141.57,10225.12,9.82,301.5,628.76,17.92,24.4,1.74,0
7.79,222.76,14166.8,13.01,367.11,450.29,5.82,90.58,2.52,1
5.44,183.57,13257.26,4.35,133.44,149.03,12.52,71.84,4.45,1
7.93,218.12,25418.9,8.64,287.78,162.32,10.88,37.96,4.32,0
8.09,305.21,27953.65,11.7,334.45,810.27,26.94,68.96,3.74,1
6.27,283.86,30592.48,3.94,227.1,695.13,17.65,47.73,1.62,1
7.09,116.67,44070.19,2.47,371.04,740.95,11.81,72.67,1.93,1
5.49,107.09,5342.59,10.14,303.18,944.62,21.31,10.5,3.41,0
6.96,107.03,23727.04,12.73,280.78,690.39,11.74,57.41,3.01,0
6.5,290.21,28170.39,6.53,105.69,893.67,9.76,62.18,2.75,0
5.89,99.0,26332.07,0.63,332.98,836.13,5.88,82.97,4.61,0
7.23,270.08,36509.2,9.52,152.71,777.5,17.06,105.43,1.92,1
8.4,108.68,15074.39,12.27,159.3,365.78,8.2,61.62,3.32,1
7.82,313.89,11640.39,1.78,367.36,542.75,5.11,37.21,4.58,1
6.66,229.19,39906.96,11.46,329.14,869.83,21.35,98.86,1.46,1
8.25,167.82,7473.24,6.76,163.56,649.09,13.56,34.88,2.38,0
7.8,218.28,26374.47,12.55,374.46,307.89,10.1,12.03,3.34,0
8.74,262.42,21415.66,9.89,165.35,328.19,20.86,15.94,1.68,1
6.77,256.17,48967.64,7.48,154.38,934.87,25.55,109.33,1.31,1
7.83,160.41,41642.32,1.37,261.21,262.14,17.47,82.94,2.21,1
8.64,287.54,32104.5,4.41,235.61,877.16,20.94,45.5,2.85,0
5.4,234.84,42757.39,7.51,91.99,866.4,19.28,50.49,3.65,1
7.65,307.92,17865.22,5.17,177.3,235.97,14.32,74.23,1.76,1
6.09,142.33,48913.41,11.11,303.26,376.92,24.28,72.32,4.11,0
6.48,256.34,45434.22,13.24,384.02,511.54,13.24,86.76,2.85,1
7.07,129.32,28584.23,13.15,234.13,515.69,27.06,23.99,2.1,0
7.3,145.23,22861.24,10.93,183.59,276.91,4.74,32.07,4.59,1
8.48,306.55,32766.92,12.41,269.46,883.64,15.74,68.09,2.99,1
7.18,248.33,39797.49,9.33,304.04,154.48,8.49,81.0,1.6,0
7.01,138.4,9269.9,2.97,210.58,212.26,5.89,53.9,3.03,0
6.46,89.07,47945.3,5.01,175.99,885.09,11.3,105.53,3.24,1
6.11,148.03,21430.11,5.33,102.82,958.37,15.75,70.96,2.68,0
6.03,167.7,24652.81,11.78,114.98,805.86,26.63,75.98,2.81,1
7.74,310.58,34657.94,3.27,390.78,412.54,21.38,66.96,4.04,0
6.27,268.44,15704.82,6.82,101.58,434.23,21.1,20.22,2.31,1
8.39,215.87,15903.27,9.52,194.56,459.31,26.53,71.93,1.85,1
7.55,98.12,10833.5,0.91,325.24,856.49,9.82,8.39,3.75,1
8.1,214.84,39785.82,7.36,106.12,421.71,16.96,84.33,4.24,0
6.86,185.66,33812.33,12.04,304.12,513.29,21.37,38.12,2.92,1
8.29,182.23,31786.01,3.83,147.75,491.43,19.24,41.28,2.41,0
6.72,152.82,7155.75,4.15,110.56,776.94,27.92,100.66,2.2,1
7.01,140.37,27061.03,10.67,403.58,675.38,23.33,114.2,4.27,0
5.77,287.8,33025.47,3.17,268.64,363.8,23.66,95.95,3.99,0
5.84,279.99,23719.66,8.43,312.73,524.35,21.2,38.08,4.25,1
6.47,274.5,1556.55,7.05,238.92,312.4,24.25,100.6,4.34,0
7.37,192.97,30164.42,2.09,183.79,259.54,25.95,12.67,3.2,1
7.32,213.35,17430.88,9.12,148.41,616.08,23.06,17.18,4.37,1
7.66,186.65,35792.77,5.01,260.13,391.88,14.4,89.24,2.7,1
7.23,185.39,39916.88,4.19,192.92,951.41,20.83,90.46,2.19,0
5.62,280.79,44855.71,0.91,295.71,869.85,9.77,79.28,4.25,1
6.55,298.67,4257.09,4.02,391.49,136.24,4.06,112.48,4.76,1
6.63,293.52,26293.57,4.98,242.6,529.99,27.94,27.99,3.93,0
7.4,259.38,46319.72,9.95,181.39,267.18,12.94,77.74,4.26,0
7.7,128.66,11754.67,2.72,342.57,806.4,10.85,97.26,2.93,0
6.38,259.19,29619.54,13.21,335.72,878.47,8.3,82.5,3.13,0
5.74,276.52,46519.13,4.46,299.5,926.12,25.59,110.38,3.79,1
7.39,100.13,16297.68,10.35,151.08,125.31,12.44,89.87,1.58,0
8.17,85.02,2869.2,8.99,93.83,722.23,14.51,9.09,4.61,0
8.18,202.6,34198.83,6.97,128.55,816.61,27.07,49.88,1.68,0
6.72,208.71,18908.54,9.64,183.41,222.63,3.79,52.29,4.5,1
6.84,111.81,20844.3,3.78,265.07,561.94,13.54,62.69,3.95,0
6.48,284.54,42141.0,3.95,323.08,401.05,25.96,41.44,4.08,1
8.06,150.46,13613.11,8.49,213.93,396.19,13.16,49.84,1.89,1
6.87,301.55,23240.98,7.47,314.2,184.5,4.44,109.62,3.62,1
7.6,245.93,35125.59,8.53,188.26,453.45,23.01,17.23,1.67,1
7.03,94.83,35190.18,5.72,90.32,734.09,5.61,15.2,4.21,0
7.79,310.25,2697.29,11.91,282.67,349.78,13.26,11.02,4.49,1
8.42,173.33,18514.53,7.94,120.7,524.18,20.41,108.08,1.63,1
6.87,258.08,25994.84,10.08,92.25,593.43,9.61,61.64,1.94,1
7.22,168.46,9328.89,5.55,350.76,927.49,7.79,18.3,2.07,0
6.98,126.96,35810.95,2.06,174.74,963.02,19.73,64.05,4.66,0
6.86,159.19,36613.23,1.25,242.47,179.01,3.03,84.43,1.43,1
6.41,106.18,19130.92,7.67,362.34,463.56,27.66,101.77,3.59,1
5.94,166.85,20994.68,7.74,261.09,544.09,26.69,53.84,3.04,0
4.88,256.58,1506.03,8.98,345.51,878.48,20.34,80.99,1.52,0
7.0,247.95,10367.12,1.27,202.33,767.22,3.48,34.51,1.4,1
6.88,312.58,735.99,6.99,138.23,925.23,16.62,25.95,1.74,0
7.67,280.74,10204.66,4.63,385.08,922.83,11.87,50.03,3.56,0
6.74,132.68,19948.74,11.38,163.86,244.5,21.08,30.29,3.18,0
5.5,239.25,37634.03,7.57,160.4,458.23,18.29,106.82,2.6,0
7.57,169.43,37000.11,11.85,382.14,279.74,25.12,12.06,2.84,0
9.0,250.58,33297.41,4.18,357.34,475.51,3.69,99.73,4.55,0
6.64,239.96,838.11,12.63,300.23,741.77,24.49,105.78,4.1,1
7.68,228.26,1607.68,11.73,150.97,904.28,25.91,72.51,4.5,0
7.94,93.04,47813.6,5.81,284.27,506.64,20.17,94.64,3.31,1
6.08,134.31,4354.09,5.48,355.49,607.13,5.43,49.14,2.79,0
6.19,139.21,17733.75,11.11,339.66,219.48,20.96,111.39,4.3,1
7.45,128.66,46891.83,4.0,267.07,401.61,19.5,48.39,2.13,1
6.4,89.61,13353.99,11.17,336.63,717.85,9.47,22.79,3.97,0
5.81,104.38,42751.28,12.98,238.71,569.42,3.24,87.58,3.36,0
7.24,190.0,40655.61,5.1,194.58,271.05,14.31,69.47,4.72,1
8.92,238.75,18744.49,4.67,280.25,812.5,10.06,36.83,3.85,1
5.65,241.34,44987.56,1.1,244.43,856.64,3.83,102.87,3.66,0
6.24,92.79,32550.16,10.5,351.82,832.46,13.13,112.53,3.08,0
7.38,151.33,32060.57,5.22,254.77,758.86,16.78,61.19,4.64,0
6.45,301.21,14488.01,6.01,227.84,793.53,15.03,102.74,4.13,0
6.6,208.66,19557.82,1.66,356.34,217.98,15.12,14.02,2.75,0
6.76,201.24,42071.96,13.13,252.84,412.67,12.92,51.89,2.8,1
6.62,254.42,30218.41,4.39,226.75,870.1,26.1,102.02,2.99,1
6.76,206.86,40503.77,10.05,247.44,618.06,19.15,52.71,2.55,1
6.46,92.59,22649.82,8.28,317.08,496.45,17.58,56.52,2.7,1
7.66,186.99,12492.94,2.9,184.9,713.34,7.15,53.25,2.91,1
6.62,243.27,37871.15,6.09,309.35,483.11,23.25,85.59,3.66,1
6.4,156.66,29573.6,0.86,339.51,754.12,17.87,13.48,2.31,1
7.15,173.86,44472.05,9.51,384.42,131.96,11.24,76.38,4.7,1
7.58,86.65,8927.24,11.52,118.2,878.92,25.48,36.23,2.73,1
7.27,155.23,32011.16,5.42,298.53,653.71,21.84,100.71,3.68,1
7.41,210.42,20979.83,8.79,366.71,404.72,22.18,78.27,3.85,1
8.06,140.96,36292.88,6.76,154.74,417.48,12.07,93.07,4.13,1
5.24,251.22,17708.24,10.68,112.89,803.56,25.04,47.38,2.32,1
5.94,152.95,9468.61,8.2,199.15,242.84,5.76,85.61,2.48,1
6.16,104.86,37035.57,5.39,214.11,360.61,16.54,37.1,2.53,0
5.9,256.55,33387.25,7.18,164.75,570.98,20.69,91.64,4.02,1
7.08,259.57,4171.39,9.22,390.97,395.87,8.54,113.59,3.45,0
7.02,224.23,33742.56,11.5,302.68,295.74,16.07,77.84,2.03,1
7.98,100.57,12664.88,6.32,128.31,422.26,22.7,114.7,1.73,1
6.85,220.51,46601.99,0.57,309.87,861.41,17.64,79.07,3.72,1
5.97,104.74,40600.26,0.89,183.13,787.74,22.56,91.41,2.61,0
8.25,127.91,37454.92,2.99,261.38,403.39,9.65,8.17,2.44,0
8.05,117.79,1196.25,7.16,342.88,688.81,24.66,29.66,2.97,1
7.25,262.14,27733.98,11.5,309.69,235.88,25.58,56.1,3.6,1
8.59,208.71,21965.28,5.71,277.35,432.01,15.82,87.36,2.19,1
9.49,111.79,29385.11,11.93,125.42,143.2,6.62,86.02,2.9,0
6.52,130.94,22945.13,0.79,402.41,365.86,9.85,86.47,2.99,1
6.49,251.35,8549.43,13.37,285.61,670.77,23.46,24.7,4.08,1
7.75,276.3,11280.89,11.49,334.72,979.85,22.45,91.46,2.39,0
6.76,161.18,27775.65,11.55,209.68,378.32,23.47,90.41,2.32,0
7.75,280.79,40737.63,6.45,365.04,360.25,5.76,42.07,2.59,0
7.72,250.47,4801.78,3.34,166.43,166.29,9.48,29.15,1.37,0
6.57,258.26,26562.14,7.77,122.54,491.97,6.37,20.31,1.98,1
7.95,254.43,38300.26,2.05,380.91,632.76,14.15,73.57,3.67,1
7.72,282.56,23892.99,13.08,392.2,500.99,19.83,59.49,2.8,1
6.8,250.23,39002.75,4.25,104.72,216.26,9.03,28.39,4.62,1
8.02,88.65,23819.42,11.75,177.81,614.48,5.93,39.36,4.47,0
9.68,181.29,27612.66,6.62,223.3,305.98,14.82,92.15,3.83,1
7.7,269.95,46037.67,5.29,112.46,521.17,25.6,61.99,2.94,1
5.85,116.7,21439.17,6.29,249.48,315.11,8.33,108.07,4.58,0
6.79,142.8,9668.24,8.61,386.98,405.01,4.26,18.86,1.64,1
6.66,288.38,3001.33,6.65,329.35,176.66,10.22,58.07,2.72,0
6.38,178.34,25487.54,9.66,165.83,505.49,15.97,108.61,3.36,1
7.53,318.3,48552.79,0.95,196.93,299.95,14.33,61.98,4.54,1
8.69,308.93,26483.64,6.76,277.04,920.87,10.83,64.76,3.34,0
7.22,88.67,12211.81,1.16,357.25,374.0,5.27,62.41,4.05,1
6.19,153.32,45442.29,4.53,297.16,330.48,21.61,76.51,2.49,1
7.48,158.07,4917.1,6.41,275.09,381.13,7.05,11.67,1.78,0
6.01,248.04,48731.92,6.99,187.16,732.6,3.19,32.68,4.3,1
7.79,127.46,29681.19,4.63,401.27,895.51,5.6,94.83,1.84,0
7.23,166.77,22014.1,8.67,310.36,665.42,11.57,89.6,2.38,0
6.57,193.85,47218.95,12.39,307.07,972.55,8.9,83.44,2.31,1
6.36,272.08,31791.51,11.39,387.93,532.79,14.99,106.19,4.5,1
7.39,307.56,32003.6,7.05,189.96,834.06,6.91,9.61,1.54,1
8.03,181.69,41610.04,6.27,241.83,352.93,6.94,14.56,4.38,1
8.18,127.53,47825.65,11.98,385.26,802.75,27.25,10.8,4.17,1
7.15,166.81,27490.32,7.36,397.44,878.68,18.68,57.73,2.91,1
7.28,275.38,7829.47,10.07,286.85,949.14,21.81,112.01,4.21,1
6.85,195.18,5530.93,2.57,285.1,834.17,24.17,74.22,2.39,1
6.22,188.46,44590.68,12.12,184.73,865.37,25.44,103.17,3.08,1
6.32,298.01,3829.32,0.51,223.7,251.18,25.75,23.43,1.75,1
8.18,215.42,32911.69,11.84,237.68,800.41,3.58,94.61,3.12,0
6.41,312.17,19304.14,6.98,361.64,419.58,14.75,31.42,2.28,0
8.32,283.71,4143.09,12.47,361.19,250.7,4.0,81.87,4.29,1
6.51,292.58,24517.4,9.65,191.15,950.5,10.28,98.16,3.38,1
5.61,148.53,48415.19,9.24,178.34,818.02,4.76,95.94,3.63,0
6.51,287.23,26686.75,2.65,221.78,623.43,17.49,70.58,2.88,1
7.28,247.26,39385.33,7.76,179.53,233.58,6.94,57.46,2.24,1
6.86,299.14,32061.83,9.62,223.56,631.34,19.21,55.37,3.29,0
7.45,267.92,7279.73,4.04,171.65,944.82,19.98,55.87,2.05,1
8.86,146.85,15652.06,12.16,365.75,259.6,25.94,95.46,3.36,0
7.26,86.13,6981.5,5.85,281.43,659.42,23.1,94.99,4.34,1
6.99,202.81,23627.66,1.84,380.03,907.67,13.3,9.18,1.73,0
6.58,201.68,39563.44,4.15,402.0,276.42,3.76,70.83,2.39,0
6.81,282.49,25552.89,12.03,378.85,591.63,22.61,106.49,3.25,1
8.4,162.1,12154.54,12.37,301.33,748.89,9.23,47.72,4.68,0
7.99,120.22,998.68,5.86,257.23,765.67,27.0,26.21,1.81,0
8.41,128.6,14723.86,6.82,152.62,672.15,16.09,38.6,3.94,0
7.22,248.52,38620.55,13.21,394.76,479.0,24.03,26.99,2.1,1
6.48,138.62,7342.61,2.11,362.34,304.7,4.39,25.64,1.4,0
7.07,108.6,46794.66,1.08,318.93,592.86,18.29,38.58,2.93,0
6.81,163.26,10703.17,8.55,142.84,836.31,16.66,100.87,3.64,1
8.23,250.2,41237.46,1.48,177.8,554.65,10.12,73.3,3.28,0
7.66,309.18,40098.14,1.16,303.95,697.69,12.27,64.17,3.9,1
5.43,241.08,46022.04,3.47,156.02,360.83,15.19,79.17,3.56,0
6.02,244.91,9228.02,12.73,92.93,721.41,22.87,100.39,1.71,1
6.77,92.15,39034.4,6.18,152.3,157.67,16.63,84.5,4.62,1
8.47,254.62,7161.09,6.18,205.1,313.41,16.03,21.39,4.16,0
6.43,181.24,1738.95,9.16,154.83,578.64,25.56,39.22,4.22,1
7.15,275.47,45151.18,2.07,132.58,903.06,25.59,65.03,3.18,1
7.35,197.92,36831.16,4.1,338.13,771.4,27.08,113.94,4.3,1
7.46,119.12,6034.9,3.3,284.87,651.76,11.63,93.17,3.91,0
7.53,248.3,17867.86,11.79,244.93,230.8,27.0,89.89,2.33,0
6.53,296.29,5787.98,5.93,176.46,436.14,18.38,64.22,2.8,1
7.83,170.05,44324.97,8.32,163.17,550.6,21.96,109.71,2.29,1
6.46,118.41,20455.67,9.88,359.77,864.77,17.16,67.55,2.93,0
7.79,285.21,39665.88,12.21,368.08,348.09,14.07,80.01,3.89,1
6.71,97.42,11336.12,1.77,397.19,928.05,16.9,14.25,2.09,0
6.62,91.52,12618.05,1.41,243.57,243.11,3.67,91.3,4.03,1
6.94,161.41,19524.67,0.7,97.39,481.19,18.07,112.13,1.7,0
6.3,125.14,4599.2,9.92,90.0,919.05,20.87,112.07,3.04,1
7.37,114.89,7464.84,10.3,245.87,913.66,19.35,49.49,3.02,0
8.75,191.95,8628.38,10.99,154.03,464.96,22.81,9.2,2.23,0
5.12,206.43,35600.28,1.71,318.76,391.7,23.58,46.61,4.53,0
7.31,208.82,1440.39,10.06,129.26,737.14,27.96,96.96,3.47,0
5.0,208.23,28098.81,3.55,219.46,917.77,13.75,79.7,3.57,1
7.35,227.88,38568.08,1.25,95.09,727.73,22.07,105.63,1.39,0
5.22,230.81,34044.32,8.75,346.37,607.51,14.31,20.76,4.62,1
6.42,92.95,13103.48,0.66,244.05,948.88,21.44,66.75,2.07,1
7.14,159.45,996.27,9.03,262.88,460.06,6.49,57.3,3.31,0
5.84,212.3,40376.27,3.12,351.5,261.89,13.33,59.77,2.51,0
7.11,86.35,9642.88,5.65,160.32,217.26,11.69,48.38,4.28,0
7.55,265.23,23766.05,6.93,366.41,924.64,16.1,107.12,1.57,1
7.67,245.63,33052.16,2.46,213.86,572.18,17.31,30.24,1.83,1
5.88,193.15,32249.55,6.37,360.54,313.32,21.51,42.74,4.69,0
7.66,159.4,4693.86,2.37,356.28,278.62,20.38,112.86,4.5,0
6.55,284.96,6392.84,1.55,122.57,303.29,4.8,16.1,4.4,0
7.45,147.29,3463.12,8.49,201.93,952.73,4.7,91.59,4.34,0
7.94,173.55,14483.53,10.71,108.63,808.89,25.29,64.56,3.98,0
6.53,140.1,33018.82,7.13,285.35,788.97,14.82,28.69,2.13,1
7.39,162.6,48928.02,8.62,348.42,301.99,7.66,68.54,1.28,0
6.37,180.92,4231.42,7.15,400.1,532.4,14.5,96.68,4.63,1
6.03,305.45,46311.21,5.14,122.76,176.94,18.93,75.47,1.92,0
7.99,171.35,30566.66,5.03,143.64,445.28,16.01,60.17,1.92,1
5.82,274.42,28296.51,2.43,138.28,301.01,11.73,86.67,4.42,1
7.99,160.76,16999.39,6.94,279.41,756.89,11.96,63.42,1.97,1
7.85,148.32,22020.04,10.82,408.64,368.79,25.6,90.29,1.26,0
5.94,229.77,26717.75,7.03,127.9,594.41,19.46,22.76,2.42,0
6.58,282.5,31822.79,12.31,172.14,903.64,19.72,73.78,1.56,1
6.95,239.62,20864.52,8.39,129.27,955.47,21.48,112.85,1.64,0
5.9,110.56,33246.39,3.34,115.86,959.61,17.53,12.69,1.67,1
7.0,275.96,1061.44,0.99,378.37,456.33,19.32,56.45,3.74,1
6.51,124.87,25074.68,10.03,250.7,517.26,26.85,99.68,2.36,0
6.76,98.53,19443.97,12.41,346.39,575.61,13.94,58.22,1.52,0
